,Unnamed: 0,name,url,taste,price_250g,price_1000g,timestamp,Weight250,price250gcurrency,curreny,price250,Weight1000,price1000gcurrency,price1000,typ,origin_list,country1,country2,country3,country4,country5
16,16,Sicilia,https://www.rastshop.ch/de/kaffee/sicilia,"nussig, Bittermandel",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.539553+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,
17,17,Venezia,https://www.rastshop.ch/de/kaffee/venezia,"süsse, rote Beeren",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-08 14:16:54.543945+00:00,250,CHF 6.50,CHF,6.50,1000,CHF 23.90,23.90,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,
18,18,Vesuvio,https://www.rastshop.ch/de/kaffee/vesuvio,"würzig, leichte Rauchnote",250 g à CHF 6.60,1 kg à CHF 24.40,2022-12-08 14:16:54.548421+00:00,250,CHF 6.60,CHF,6.60,1000,CHF 24.40,24.40,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,
19,19,Barista Espresso,https://www.rastshop.ch/de/kaffee/barista-espresso,"Mandel, Zitrusnote",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.552857+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien
20,20,Tropical Rainforest,https://www.rastshop.ch/de/kaffee/tropical-rainforest,"Süssholz, Karamell, gebrannte Mandeln",250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 14:16:54.557487+00:00,250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,
21,21,Fairtrade Espresso,https://www.rastshop.ch/de/kaffee/fairtrade-espresso,"Haselnuss, leicht erdig, zartbitter, Süssholz",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.561792+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,
22,22,Bio Espresso,https://www.rastshop.ch/de/kaffee/bio-espresso,dunkle Nussschokolade,250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.566367+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,
23,23,Rainforest Espresso,https://www.rastshop.ch/de/kaffee/rainforest-espresso,"Bittermandel, dunkle Schokolade",250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-08 14:16:54.571200+00:00,250,CHF 6.30,CHF,6.30,1000,CHF 22.90,22.90,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,
24,24,La Pastora Tarrazu,https://www.rastshop.ch/de/kaffee/la-pastora-tarrazu,"Lemon, Aprikose, schokoladig",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.575674+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,CostaRica,CostaRica,,,,
25,25,Serrano Lavado,https://www.rastshop.ch/de/kaffee/serrano-lavado,"Walnuss, dunkle Schokolade",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.590321+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Kuba,Kuba,,,,
26,26,Antigua,https://www.rastshop.ch/de/kaffee/antigua-la-ceiba,"Haselnuss, Bitterschokolade",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.595942+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Guatemala,Guatemala,,,,
27,27,Herminio Bio,https://www.rastshop.ch/de/kaffee/herminio-bio,"Zitrus, Früchtetee, Nussschokolade",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.629035+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Guatemala,Guatemala,,,,
28,28,Blue Mountain,https://www.rastshop.ch/de/kaffee/blue-mountain-wallenford-estate,"Erdnuss, Haselnuss, Karamell, Schokolade",250 g à CHF 39.50,1 kg à CHF 156.00,2022-12-08 14:16:54.637063+00:00,250,CHF 39.50,CHF,39.50,1000,CHF 156.00,156.00,Einzelsorte,Jamaika,Jamaika,,,,
29,29,Iglesia,https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo,"Limette, Assam-Tee, Mandel, Walnuss",250 g à CHF 11.80,1 kg à CHF 44.90,2022-12-08 14:16:54.642125+00:00,250,CHF 11.80,CHF,11.80,1000,CHF 44.90,44.90,Einzelsorte,Mexiko,Mexiko,,,,
30,30,Xochiltepec,https://www.rastshop.ch/de/kaffee/xochiltepec,"Mandel, Schokolade, rote Beeren",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.646617+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Mexiko,Mexiko,,,,
31,31,Comsa Fairtrade,https://www.rastshop.ch/de/kaffee/comsa-fairtrade,"Orange, Tabak, Baumnuss",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.651265+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Einzelsorte,Honduras,Honduras,,,,
32,32,Geisha natural,https://www.rastshop.ch/de/kaffee/geisha-natural,"Pflaume, Mango, Ananas",250 g à CHF 36.50,1 kg à CHF 144.00,2022-12-08 14:16:54.656264+00:00,250,CHF 36.50,CHF,36.50,1000,CHF 144.00,144.00,Einzelsorte,Panama,Panama,,,,
33,33,Geisha washed,https://www.rastshop.ch/de/kaffee/geisha-washed,"Bergamotte, Jasmin, Honig, Apfel",250 g à CHF 36.50,1 kg à CHF 144.00,2022-12-08 14:16:54.660818+00:00,250,CHF 36.50,CHF,36.50,1000,CHF 144.00,144.00,Einzelsorte,Panama,Panama,,,,
34,34,Bahareque Fairtrade,https://www.rastshop.ch/de/kaffee/bahareque-fairtrade,"nussig, Schokolade, Pfirsich",250 g à CHF 7.30,1 kg à CHF 26.90,2022-12-08 14:16:54.665812+00:00,250,CHF 7.30,CHF,7.30,1000,CHF 26.90,26.90,Einzelsorte,Kolumbien,Kolumbien,,,,
35,35,Vista Alegre,https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre,"Steinobst, Haselnuss, Honig",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.675110+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Einzelsorte,Brasilien,Brasilien,,,,
36,36,Apas Fairtrade,https://www.rastshop.ch/de/kaffee/apas-fairtrade,"Muskat, Bitterschokolade, süsslich",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.683515+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Einzelsorte,Brasilien,Brasilien,,,,
37,37,Taioba,https://www.rastshop.ch/de/kaffee/taioba-fazenda-agua-limpa,"Bitterschokolade, Lebkuchen, Karamell, Kandis",250 g à CHF 9.80,1 kg à CHF 36.90,2022-12-08 14:16:54.688691+00:00,250,CHF 9.80,CHF,9.80,1000,CHF 36.90,36.90,Einzelsorte,Brasilien,Brasilien,,,,
38,38,Yellow Bourbon,https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia,"Honig, Baumnuss",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.693351+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Brasilien,Brasilien,,,,
39,39,El Palto BIO Fairtrade,https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade,"Schokolade, Bittermandel",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-08 14:16:54.698074+00:00,250,CHF 7.50,CHF,7.50,1000,CHF 27.90,27.90,Einzelsorte,Peru,Peru,,,,
40,40,Vilcabamba,https://www.rastshop.ch/de/kaffee/vilcabamba,dunkle Schokolade,250 g à CHF 8.50,1 kg à CHF 31.90,2022-12-08 14:16:54.702815+00:00,250,CHF 8.50,CHF,8.50,1000,CHF 31.90,31.90,Einzelsorte,Ecuador,Ecuador,,,,
41,41,Pink Bourbon,https://www.rastshop.ch/de/kaffee/pink-bourbon,"Baumnuss, Lakritze",250 g à CHF 10.30,1 kg à CHF 38.90,2022-12-08 14:16:54.707680+00:00,250,CHF 10.30,CHF,10.30,1000,CHF 38.90,38.90,Einzelsorte,Kolumbien,Kolumbien,,,,
42,42,Guji BIO,https://www.rastshop.ch/de/kaffee/guji,"Orange, leichte Schokoladennote",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-08 14:16:54.712250+00:00,250,CHF 7.00,CHF,7.00,1000,CHF 25.90,25.90,Einzelsorte,Äthiopien,Äthiopien,,,,
43,43,Yirga Cheffe BIO,https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio,"Limettenzeste, Pfirsich, Lakritze",250 g à CHF 8.50,1 kg à CHF 31.90,2022-12-08 14:16:54.717004+00:00,250,CHF 8.50,CHF,8.50,1000,CHF 31.90,31.90,Einzelsorte,Äthiopien,Äthiopien,,,,
44,44,Limu,https://www.rastshop.ch/de/kaffee/limu,"Aprikose, tropische Früchte, Schwarztee",250 g à CHF 7.80,1 kg à CHF 28.90,2022-12-08 14:16:54.722213+00:00,250,CHF 7.80,CHF,7.80,1000,CHF 28.90,28.90,Einzelsorte,Äthiopien,Äthiopien,,,,
45,45,Nyeri,https://www.rastshop.ch/de/kaffee/nyeri-kenia,"Grapefruit, Cassis",250 g à CHF 8.80,1 kg à CHF 32.90,2022-12-08 14:16:54.726860+00:00,250,CHF 8.80,CHF,8.80,1000,CHF 32.90,32.90,Einzelsorte,Kenia,Kenia,,,,
46,46,Bukoba Bio Fairtrade,https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade,"würzig, dunkle Schokolade",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-08 14:16:54.731749+00:00,250,CHF 6.80,CHF,6.80,1000,CHF 24.90,24.90,Einzelsorte,Tansania,Tansania,,,,
