,name,taste,url,typ_origin,price_250g,price_1000g,timestamp,retailer
0,Tavola Espresso,"Kakao, geröstete Haselnuss",{'url': 'https://www.rastshop.ch/de/kaffee/tavola-espresso'},"Espresso-Mischung
Brasilien, Costa Rica, Guatemala, Indien",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-09 09:04:47.562656+00:00,Rast Kaffee
1,Mocca,Schwarzbrot,{'url': 'https://www.rastshop.ch/de/kaffee/mocca'},"Kaffee-Mischung
Indonesien, Brasilien, Costa Rica",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-09 09:04:47.595734+00:00,Rast Kaffee
2,Visconti,dunkle Schokolade,{'url': 'https://www.rastshop.ch/de/kaffee/visconti'},"Kaffee-Mischung
Brasilien, Kolumbien, Indonesien, Costa Rica",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-09 09:04:47.640131+00:00,Rast Kaffee
3,Wiener,"Toast, Zartbitterschokolade",{'url': 'https://www.rastshop.ch/de/kaffee/wiener'},"Kaffee-Mischung
Guatemala, Indonesien, Costa Rica, Brasilien",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-09 09:04:47.689875+00:00,Rast Kaffee
4,Eldorado,"Süssholz, Geranie, frische Erde",{'url': 'https://www.rastshop.ch/de/kaffee/eldorado'},"Kaffee-Mischung
Indien, Guatemala, Brasilien, Costa Rica",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-09 09:04:47.698362+00:00,Rast Kaffee
5,Premium,"Mandeln, Brotkruste",{'url': 'https://www.rastshop.ch/de/kaffee/premium'},"Kaffee-Mischung
Indonesien, Guatemala, Brasilien, Indien",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-09 09:04:47.707298+00:00,Rast Kaffee
6,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",{'url': 'https://www.rastshop.ch/de/kaffee/latino-no-2'},"Kaffee-Mischung
Brasilien, PNG, Guatemala, Costa Rica, Kolumbien",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-09 09:04:47.714595+00:00,Rast Kaffee
7,Festival,"dunkle Beeren, Schokolade, Akazienhonig",{'url': 'https://www.rastshop.ch/de/kaffee/festival'},"Kaffee-Mischung
Kenia, Guatemala, Brasilien, Costa Rica",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-09 09:04:47.721585+00:00,Rast Kaffee
8,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",{'url': 'https://www.rastshop.ch/de/kaffee/barista-creme'},"Kaffee-Mischung
Kenia, Costa Rica, Indonesien, PNG, Guatemala",250 g à CHF 7.50,1 kg à CHF 27.90,2022-12-09 09:04:47.925657+00:00,Rast Kaffee
9,Latino No 5,nussig,{'url': 'https://www.rastshop.ch/de/kaffee/latino-no-5'},"Kaffee-Mischung
Kolumbien, Jamaika, Costa R., Guatemala, Brasilien",250 g à CHF 9.00,1 kg à CHF 33.90,2022-12-09 09:04:48.034972+00:00,Rast Kaffee
