,name,taste,url,timestamp,retailer,label,roastlevel,Weight250,curreny,price250,Weight1000,price1000,typ,origin_list,country1,country2,country3,country4,country5,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure
16,Home-Office,"Haselnuss, getrocknete Aprikose",https://www.rastshop.ch/de/kaffee/home-office,2022-12-09 08:41:23.350156+00:00,Rast Kaffee,NaN,48.75,250,CHF,7.50,1000,27.90,Kaffee-Mischung,"Kolumbien,Äthiopien,Brasilien",Kolumbien,Äthiopien,Brasilien,,,3,4,1,2,3,3,2,1,2,3,3
17,Milano,"dunkle Schokolade, würzig",https://www.rastshop.ch/de/kaffee/milano,2022-12-09 08:41:23.357247+00:00,Rast Kaffee,NaN,61.25,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Guatemala,Brasilien,CostaRica,Indonesien",Guatemala,Brasilien,CostaRica,Indonesien,,4,3,3,0,0,3,5,4,4,4,1
18,Roma,"würzig, angenehme Röstaromen",https://www.rastshop.ch/de/kaffee/roma,2022-12-09 08:41:23.364144+00:00,Rast Kaffee,NaN,73.75,250,CHF,7.00,1000,25.90,Espresso-Mischung,"Indonesien,Brasilien,Kolumbien",Indonesien,Brasilien,Kolumbien,,,4,2,4,1,0,3,4,4,3,3,1
19,Sicilia,"nussig, Bittermandel",https://www.rastshop.ch/de/kaffee/sicilia,2022-12-09 08:41:23.371451+00:00,Rast Kaffee,NaN,88.75,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Indonesien,Kolumbien,Brasilien",Indonesien,Kolumbien,Brasilien,,,5,2,5,0,0,4,3,5,4,4,0
20,Venezia,"süsse, rote Beeren",https://www.rastshop.ch/de/kaffee/venezia,2022-12-09 08:41:23.379243+00:00,Rast Kaffee,NaN,63.75,250,CHF,7.00,1000,25.90,Espresso-Mischung,"Indonesien,Äthiopien,CostaRica,Brasilien",Indonesien,Äthiopien,CostaRica,Brasilien,,4,4,2,2,3,3,3,2,3,3,2
21,Vesuvio,"würzig, leichte Rauchnote",https://www.rastshop.ch/de/kaffee/vesuvio,2022-12-09 08:41:23.386588+00:00,Rast Kaffee,NaN,73.75,250,CHF,7.00,1000,25.90,Espresso-Mischung,"Indonesien,Guatemala,Kolumbien,Burundi",Indonesien,Guatemala,Kolumbien,Burundi,,4,1,4,0,0,1,4,4,4,4,2
22,Barista Espresso,"Mandel, Zitrusnote",https://www.rastshop.ch/de/kaffee/barista-espresso,2022-12-09 08:41:23.393532+00:00,Rast Kaffee,NaN,58.75,250,CHF,7.00,1000,25.90,Espresso-Mischung,"Guatemala,Kenia,Indonesien,Indien,Brasilien",Guatemala,Kenia,Indonesien,Indien,Brasilien,3,3,1,0,3,3,2,2,4,4,3
23,Tropical Rainforest,"Süssholz, Karamell, gebrannte Mandeln",https://www.rastshop.ch/de/kaffee/tropical-rainforest,2022-12-09 08:41:23.400550+00:00,Rast Kaffee,NaN,66.25,250,CHF,6.50,1000,23.90,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,,4,1,4,0,2,5,3,4,4,4,1
24,Fairtrade Espresso,"Haselnuss, Süssholz, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/fairtrade-espresso,2022-12-09 08:41:23.407882+00:00,Rast Kaffee,Fairtrade,61.25,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,,4,4,3,0,2,4,4,3,4,4,3
25,Bio Espresso,dunkle Nussschokolade,https://www.rastshop.ch/de/kaffee/bio-espresso,2022-12-09 08:41:23.427794+00:00,Rast Kaffee,Bio,63.75,250,CHF,7.50,1000,27.90,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,,4,2,3,1,1,4,4,3,4,4,2
