,name,taste,url,timestamp,retailer,Weight250,currency,price_250_wayback,Weight1000,price1000_wayback,type,origin_list,country1,country2,country3,country4,country5
20,Tropical Rainforest,"Süssholz, Karamell, gebrannte Mandeln",https://www.rastshop.ch/de/kaffee/tropical-rainforest,2022-12-13 13:32:03.556103,Rast Kaffee,250,CHF,6.30,1000,22.90,Espresso-Mischung,"Mexiko,Brasilien,Tansania",Mexiko,Brasilien,Tansania,,
21,Fairtrade Espresso,"Haselnuss, leicht erdig, zartbitter, Süssholz",https://www.rastshop.ch/de/kaffee/fairtrade-espresso,2022-12-13 13:32:03.564316,Rast Kaffee,250,CHF,6.80,1000,24.90,Espresso-Mischung,"Brasilien,Peru,Honduras,Tansania",Brasilien,Peru,Honduras,Tansania,
22,Bio Espresso,dunkle Nussschokolade,https://www.rastshop.ch/de/kaffee/bio-espresso,2022-12-13 13:32:03.572150,Rast Kaffee,250,CHF,7.50,1000,27.90,Espresso-Mischung,"Guatemala,Indonesien",Guatemala,Indonesien,,,
23,Rainforest Espresso,"Bittermandel, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/rainforest-espresso,2022-12-13 13:32:03.580657,Rast Kaffee,250,CHF,6.30,1000,22.90,Espresso-Mischung,"Brasilien,Guatemala,CostaRica,Indien",Brasilien,Guatemala,CostaRica,Indien,
24,La Pastora Tarrazu,"Lemon, Aprikose, schokoladig",https://www.rastshop.ch/de/kaffee/la-pastora-tarrazu,2022-12-13 13:32:03.588112,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,CostaRica,CostaRica,,,,
25,Serrano Lavado,"Walnuss, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/serrano-lavado,2022-12-13 13:32:03.608422,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Kuba,Kuba,,,,
26,Antigua,"Haselnuss, Bitterschokolade",https://www.rastshop.ch/de/kaffee/antigua-la-ceiba,2022-12-13 13:32:03.651206,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Guatemala,Guatemala,,,,
27,Herminio Bio,"Zitrus, Früchtetee, Nussschokolade",https://www.rastshop.ch/de/kaffee/herminio-bio,2022-12-13 13:32:03.662431,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Guatemala,Guatemala,,,,
28,Blue Mountain,"Erdnuss, Haselnuss, Karamell, Schokolade",https://www.rastshop.ch/de/kaffee/blue-mountain-wallenford-estate,2022-12-13 13:32:03.669467,Rast Kaffee,250,CHF,39.50,1000,156.00,Einzelsorte,Jamaika,Jamaika,,,,
29,Iglesia,"Limette, Assam-Tee, Mandel, Walnuss",https://www.rastshop.ch/de/kaffee/iglesia-finca-hamburgo,2022-12-13 13:32:03.676743,Rast Kaffee,250,CHF,11.80,1000,44.90,Einzelsorte,Mexiko,Mexiko,,,,
30,Xochiltepec,"Mandel, Schokolade, rote Beeren",https://www.rastshop.ch/de/kaffee/xochiltepec,2022-12-13 13:32:03.683858,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Mexiko,Mexiko,,,,
31,Comsa Fairtrade,"Orange, Tabak, Baumnuss",https://www.rastshop.ch/de/kaffee/comsa-fairtrade,2022-12-13 13:32:03.691343,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Honduras,Honduras,,,,
32,Geisha natural,"Pflaume, Mango, Ananas",https://www.rastshop.ch/de/kaffee/geisha-natural,2022-12-13 13:32:03.698323,Rast Kaffee,250,CHF,36.50,1000,144.00,Einzelsorte,Panama,Panama,,,,
33,Geisha washed,"Bergamotte, Jasmin, Honig, Apfel",https://www.rastshop.ch/de/kaffee/geisha-washed,2022-12-13 13:32:03.705176,Rast Kaffee,250,CHF,36.50,1000,144.00,Einzelsorte,Panama,Panama,,,,
34,Bahareque Fairtrade,"nussig, Schokolade, Pfirsich",https://www.rastshop.ch/de/kaffee/bahareque-fairtrade,2022-12-13 13:32:03.712612,Rast Kaffee,250,CHF,7.30,1000,26.90,Einzelsorte,Kolumbien,Kolumbien,,,,
35,Vista Alegre,"Steinobst, Haselnuss, Honig",https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre,2022-12-13 13:32:03.724952,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Brasilien,Brasilien,,,,
36,Apas Fairtrade,"Muskat, Bitterschokolade, süsslich",https://www.rastshop.ch/de/kaffee/apas-fairtrade,2022-12-13 13:32:03.747392,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Brasilien,Brasilien,,,,
37,Taioba,"Bitterschokolade, Lebkuchen, Karamell, Kandis",https://www.rastshop.ch/de/kaffee/taioba-fazenda-agua-limpa,2022-12-13 13:32:03.756855,Rast Kaffee,250,CHF,9.80,1000,36.90,Einzelsorte,Brasilien,Brasilien,,,,
38,Yellow Bourbon,"Honig, Baumnuss",https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia,2022-12-13 13:32:03.764319,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Brasilien,Brasilien,,,,
39,El Palto BIO Fairtrade,"Schokolade, Bittermandel",https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade,2022-12-13 13:32:03.771394,Rast Kaffee,250,CHF,7.50,1000,27.90,Einzelsorte,Peru,Peru,,,,
40,Vilcabamba,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/vilcabamba,2022-12-13 13:32:03.778523,Rast Kaffee,250,CHF,8.50,1000,31.90,Einzelsorte,Ecuador,Ecuador,,,,
41,Pink Bourbon,"Baumnuss, Lakritze",https://www.rastshop.ch/de/kaffee/pink-bourbon,2022-12-13 13:32:03.785539,Rast Kaffee,250,CHF,10.30,1000,38.90,Einzelsorte,Kolumbien,Kolumbien,,,,
42,Guji BIO,"Orange, leichte Schokoladennote",https://www.rastshop.ch/de/kaffee/guji,2022-12-13 13:32:03.792933,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Äthiopien,Äthiopien,,,,
43,Yirga Cheffe BIO,"Limettenzeste, Pfirsich, Lakritze",https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio,2022-12-13 13:32:03.800003,Rast Kaffee,250,CHF,8.50,1000,31.90,Einzelsorte,Äthiopien,Äthiopien,,,,
44,Limu,"Aprikose, tropische Früchte, Schwarztee",https://www.rastshop.ch/de/kaffee/limu,2022-12-13 13:32:03.807453,Rast Kaffee,250,CHF,7.80,1000,28.90,Einzelsorte,Äthiopien,Äthiopien,,,,
45,Nyeri,"Grapefruit, Cassis",https://www.rastshop.ch/de/kaffee/nyeri-kenia,2022-12-13 13:32:03.814672,Rast Kaffee,250,CHF,8.80,1000,32.90,Einzelsorte,Kenia,Kenia,,,,
46,Bukoba Bio Fairtrade,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade,2022-12-13 13:32:03.850712,Rast Kaffee,250,CHF,6.80,1000,24.90,Einzelsorte,Tansania,Tansania,,,,
47,Laurina Pointu de Bourbon,"Litschi, Gewürze, Kakao",https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon,2022-12-13 13:32:03.862676,Rast Kaffee,250,CHF,122.00,1000,486.00,Einzelsorte,LaRéunion,LaRéunion,,,,
48,Butihinda,"Schwarztee, Pfirsich",https://www.rastshop.ch/de/kaffee/butihinda,2022-12-13 13:32:03.869880,Rast Kaffee,250,CHF,9.30,1000,34.90,Einzelsorte,Burundi,Burundi,,,,
49,Somaho,"Mango, Pfirsich, leicht blumig",https://www.rastshop.ch/de/kaffee/somaho,2022-12-13 13:32:03.877149,Rast Kaffee,250,CHF,10.30,1000,38.90,Einzelsorte,Rwanda,Rwanda,,,,
50,Java Baron,"Kakao, Walnuss, leichte Tabaknoten",https://www.rastshop.ch/de/kaffee/java-baron,2022-12-13 13:32:03.884530,Rast Kaffee,250,CHF,6.50,1000,23.90,Einzelsorte,Indonesien,Indonesien,,,,
51,"Mandheling, Gold","würzig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/mandheling-gold,2022-12-13 13:32:03.892082,Rast Kaffee,250,CHF,7.30,1000,26.90,Einzelsorte,Indonesien,Indonesien,,,,
52,Malabar,"nussig, mild, Gewürze",https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall,2022-12-13 13:32:03.899201,Rast Kaffee,250,CHF,6.80,1000,24.90,Einzelsorte,Indien,Indien,,,,
53,Plantation RFA,"würzig, Schokolade, leicht Pflaume",https://www.rastshop.ch/de/kaffee/plantation-rfa,2022-12-13 13:32:03.906545,Rast Kaffee,250,CHF,7.00,1000,25.90,Einzelsorte,Indien,Indien,,,,
54,Kerkeicoondah,"nussig, würzig, schokoladig",https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm,2022-12-13 13:32:03.913805,Rast Kaffee,250,CHF,9.30,1000,34.90,Einzelsorte,Indien,Indien,,,,
55,Ponya,"reife Erdbeeren, Mascarpone",https://www.rastshop.ch/de/kaffee/ponya-palthope-estate,2022-12-13 13:32:03.920878,Rast Kaffee,250,CHF,10.30,1000,38.90,Einzelsorte,Indien,Indien,,,,
56,Chin Litäi,"Beeren, Orange",https://www.rastshop.ch/de/kaffee/chin-litai,2022-12-13 13:32:03.928190,Rast Kaffee,250,CHF,9.30,1000,34.90,Einzelsorte,Myanmar,Myanmar,,,,
57,Sigri,"nussig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/sigri-estate-plantation,2022-12-13 13:32:03.935357,Rast Kaffee,250,CHF,7.30,1000,26.90,Einzelsorte,Papua-Neuguinea,Papua-Neuguinea,,,,
58,Dornröschen,"dunkle Schokolade, getrocknete Aprikosen",https://www.rastshop.ch/de/kaffee/dornroschen,2022-12-13 13:32:03.943185,Rast Kaffee,250,CHF,7.30,1000,26.90,Koffeinfreie Mischung,Brasilien,Brasilien,,,,
59,Koffeinfrei Fairtrade,Schokolade,https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade,2022-12-13 13:32:03.951868,Rast Kaffee,250,CHF,7.50,1000,27.90,Koffeinfreie Mischung,Peru,Peru,,,,
