,Unnamed: 0_x,name,taste_x,url_x,timestamp_x,retailer_x,label,roastlevel,Weight250_x,curreny_x,price250_x,Weight1000_x,price1000_x,typ_x,origin_list_x,country1_x,country2_x,country3_x,country4_x,country5_x,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure,Unnamed: 0_y,taste_y,url_y,timestamp_y,retailer_y,Weight250_y,curreny_y,price250_y,Weight1000_y,price1000_y,typ_y,origin_list_y,country1_y,country2_y,country3_y,country4_y,country5_y
39,39,Vista Alegre,"Steinobst, Haselnuss, Honig",https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre,2022-12-09 08:41:23.603560+00:00,Rast Kaffee,Direct Trade,58.75,250,CHF,7.5,1000,27.9,Einzelsorte,Brasilien,Brasilien,,,,,3,5,1,3,3,3,0,1,3,3,2,35.0,"Steinobst, Haselnuss, Honig",https://www.rastshop.ch/de/kaffee/fazenda-vista-alegre,2022-12-09 08:44:20.186935+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Einzelsorte,Brasilien,Brasilien,,,,
40,40,Apas Fairtrade,"Muskat, Bitterschokolade, süsslich",https://www.rastshop.ch/de/kaffee/apas-fairtrade,2022-12-09 08:41:23.611791+00:00,Rast Kaffee,"Direct Trade, Fairtrade",55.0,250,CHF,7.8,1000,28.9,Einzelsorte,Brasilien,Brasilien,,,,,3,4,2,3,0,2,4,3,3,4,2,36.0,"Muskat, Bitterschokolade, süsslich",https://www.rastshop.ch/de/kaffee/apas-fairtrade,2022-12-09 08:44:20.205336+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Einzelsorte,Brasilien,Brasilien,,,,
41,41,Taioba,"Bitterschokolade, Lebkuchen, Karamell, Kandis",https://www.rastshop.ch/de/kaffee/taioba,2022-12-09 08:41:23.620334+00:00,Rast Kaffee,Parzellenkaffee,52.5,250,CHF,9.8,1000,36.9,Einzelsorte,Brasilien,Brasilien,,,,,3,5,0,4,5,2,0,1,5,4,3,37.0,"Bitterschokolade, Lebkuchen, Karamell, Kandis",https://www.rastshop.ch/de/kaffee/taioba-fazenda-agua-limpa,2022-12-09 08:44:20.214258+00:00,Rast Kaffee,250.0,CHF,9.8,1000.0,36.9,Einzelsorte,Brasilien,Brasilien,,,,
42,42,Yellow Bourbon,"Honig, Baumnuss",https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia,2022-12-09 08:41:23.628405+00:00,Rast Kaffee,Direct Trade,48.75,250,CHF,8.0,1000,29.9,Einzelsorte,Brasilien,Brasilien,,,,,3,5,2,3,3,5,3,2,3,4,1,38.0,"Honig, Baumnuss",https://www.rastshop.ch/de/kaffee/yellow-bourbon-fazenda-samambaia,2022-12-09 08:44:20.221040+00:00,Rast Kaffee,250.0,CHF,7.5,1000.0,27.9,Einzelsorte,Brasilien,Brasilien,,,,
43,43,El Palto BIO Fairtrade,"Schokolade, Bittermandel",https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade,2022-12-09 08:41:23.636480+00:00,Rast Kaffee,"Bio, Direct Trade, Fairtrade",50.0,250,CHF,8.0,1000,29.9,Einzelsorte,Peru,Peru,,,,,3,3,2,0,2,4,3,2,4,4,3,39.0,"Schokolade, Bittermandel",https://www.rastshop.ch/de/kaffee/el-palto-bio-fairtrade,2022-12-09 08:44:20.227763+00:00,Rast Kaffee,250.0,CHF,7.5,1000.0,27.9,Einzelsorte,Peru,Peru,,,,
44,44,Vilcabamba,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/vilcabamba,2022-12-09 08:41:23.644178+00:00,Rast Kaffee,,50.0,250,CHF,9.3,1000,34.9,Einzelsorte,Ecuador,Ecuador,,,,,3,2,2,0,2,2,4,3,3,3,2,40.0,dunkle Schokolade,https://www.rastshop.ch/de/kaffee/vilcabamba,2022-12-09 08:44:20.234493+00:00,Rast Kaffee,250.0,CHF,8.5,1000.0,31.9,Einzelsorte,Ecuador,Ecuador,,,,
45,45,Pink Bourbon,"Baumnuss, Lakritze",https://www.rastshop.ch/de/kaffee/pink-bourbon,2022-12-09 08:41:23.652215+00:00,Rast Kaffee,,53.75,250,CHF,10.3,1000,38.9,Einzelsorte,Kolumbien,Kolumbien,,,,,3,3,2,1,3,4,3,2,3,3,2,41.0,"Baumnuss, Lakritze",https://www.rastshop.ch/de/kaffee/pink-bourbon,2022-12-09 08:44:20.241187+00:00,Rast Kaffee,250.0,CHF,10.3,1000.0,38.9,Einzelsorte,Kolumbien,Kolumbien,,,,
46,46,Guji BIO,"Orange, leichte Schokoladennote",https://www.rastshop.ch/de/kaffee/guji,2022-12-09 08:41:23.714948+00:00,Rast Kaffee,Bio,31.25,250,CHF,8.0,1000,29.9,Einzelsorte,Äthiopien,Äthiopien,,,,,2,5,0,5,4,1,1,0,4,3,4,42.0,"Orange, leichte Schokoladennote",https://www.rastshop.ch/de/kaffee/guji,2022-12-09 08:44:20.247836+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Einzelsorte,Äthiopien,Äthiopien,,,,
47,47,Yirga Cheffe BIO,"Limettenzeste, Pfirsich, Lakritze",https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio,2022-12-09 08:41:23.728800+00:00,Rast Kaffee,Bio,31.25,250,CHF,9.3,1000,34.9,Einzelsorte,Äthiopien,Äthiopien,,,,,2,4,0,4,5,1,1,0,3,4,5,43.0,"Limettenzeste, Pfirsich, Lakritze",https://www.rastshop.ch/de/kaffee/yirga-cheffe-bio,2022-12-09 08:44:20.254796+00:00,Rast Kaffee,250.0,CHF,8.5,1000.0,31.9,Einzelsorte,Äthiopien,Äthiopien,,,,
48,48,Limu,"Aprikose, tropische Früchte, Schwarztee",https://www.rastshop.ch/de/kaffee/limu,2022-12-09 08:41:23.736897+00:00,Rast Kaffee,,18.75,250,CHF,7.8,1000,28.9,Einzelsorte,Äthiopien,Äthiopien,,,,,1,5,0,4,5,0,0,0,3,3,4,44.0,"Aprikose, tropische Früchte, Schwarztee",https://www.rastshop.ch/de/kaffee/limu,2022-12-09 08:44:20.261586+00:00,Rast Kaffee,250.0,CHF,7.8,1000.0,28.9,Einzelsorte,Äthiopien,Äthiopien,,,,
49,49,Nyeri,"Grapefruit, Cassis",https://www.rastshop.ch/de/kaffee/nyeri-kenia,2022-12-09 08:41:23.744669+00:00,Rast Kaffee,,46.25,250,CHF,9.5,1000,35.9,Einzelsorte,Kenia,Kenia,,,,,3,3,1,4,5,2,1,0,4,4,5,45.0,"Grapefruit, Cassis",https://www.rastshop.ch/de/kaffee/nyeri-kenia,2022-12-09 08:44:20.268408+00:00,Rast Kaffee,250.0,CHF,8.8,1000.0,32.9,Einzelsorte,Kenia,Kenia,,,,
50,50,Bukoba Bio Fairtrade,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade,2022-12-09 08:41:23.752886+00:00,Rast Kaffee,"Bio, Fairtrade",50.0,250,CHF,7.3,1000,26.9,Einzelsorte,Tansania,Tansania,,,,,3,3,4,0,2,4,5,3,5,5,1,46.0,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade,2022-12-09 08:44:20.275292+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Einzelsorte,Tansania,Tansania,,,,
51,51,Laurina Pointu de Bourbon,"Litschi, Gewürze, Kakao",https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon,2022-12-09 08:41:23.760657+00:00,Rast Kaffee,,37.5,250,CHF,122.0,1000,486.0,Einzelsorte,LaRéunion,LaRéunion,,,,,2,4,0,3,4,3,2,1,3,4,4,47.0,"Litschi, Gewürze, Kakao",https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon,2022-12-09 08:44:20.319115+00:00,Rast Kaffee,250.0,CHF,122.0,1000.0,486.0,Einzelsorte,LaRéunion,LaRéunion,,,,
52,52,Butihinda,"Schwarztee, Pfirsich",https://www.rastshop.ch/de/kaffee/butihinda,2022-12-09 08:41:23.768029+00:00,Rast Kaffee,,31.25,250,CHF,9.3,1000,34.9,Einzelsorte,Burundi,Burundi,,,,,2,5,0,3,5,1,0,0,3,4,4,48.0,"Schwarztee, Pfirsich",https://www.rastshop.ch/de/kaffee/butihinda,2022-12-09 08:44:20.331829+00:00,Rast Kaffee,250.0,CHF,9.3,1000.0,34.9,Einzelsorte,Burundi,Burundi,,,,
53,53,Somaho,"Mango, Pfirsich, leicht blumig",https://www.rastshop.ch/de/kaffee/somaho,2022-12-09 08:41:23.776581+00:00,Rast Kaffee,,18.75,250,CHF,10.3,1000,38.9,Einzelsorte,Rwanda,Rwanda,,,,,1,4,1,3,5,1,1,0,3,3,4,49.0,"Mango, Pfirsich, leicht blumig",https://www.rastshop.ch/de/kaffee/somaho,2022-12-09 08:44:20.338942+00:00,Rast Kaffee,250.0,CHF,10.3,1000.0,38.9,Einzelsorte,Rwanda,Rwanda,,,,
54,54,Java Baron,"Kakao, Walnuss, leichte Tabaknoten",https://www.rastshop.ch/de/kaffee/java-baron,2022-12-09 08:41:23.784985+00:00,Rast Kaffee,,50.0,250,CHF,7.3,1000,26.9,Einzelsorte,Indonesien,Indonesien,,,,,3,2,4,0,2,5,3,4,4,4,1,50.0,"Kakao, Walnuss, leichte Tabaknoten",https://www.rastshop.ch/de/kaffee/java-baron,2022-12-09 08:44:20.345966+00:00,Rast Kaffee,250.0,CHF,6.5,1000.0,23.9,Einzelsorte,Indonesien,Indonesien,,,,
55,55,"Mandheling, Gold","würzig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/mandheling-gold,2022-12-09 08:41:23.793865+00:00,Rast Kaffee,,55.0,250,CHF,8.0,1000,29.9,Einzelsorte,Indonesien,Indonesien,,,,,3,3,3,1,1,3,4,3,3,4,1,51.0,"würzig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/mandheling-gold,2022-12-09 08:44:20.352927+00:00,Rast Kaffee,250.0,CHF,7.3,1000.0,26.9,Einzelsorte,Indonesien,Indonesien,,,,
56,56,Malabar,"nussig, mild, Gewürze",https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall,2022-12-09 08:41:23.804687+00:00,Rast Kaffee,,37.5,250,CHF,7.5,1000,27.9,Einzelsorte,Indien,Indien,,,,,2,1,3,0,0,3,3,3,3,3,0,52.0,"nussig, mild, Gewürze",https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall,2022-12-09 08:44:20.359928+00:00,Rast Kaffee,250.0,CHF,6.8,1000.0,24.9,Einzelsorte,Indien,Indien,,,,
57,57,Plantation RFA,"würzig, Schokolade, leicht Pflaume",https://www.rastshop.ch/de/kaffee/plantation-rfa,2022-12-09 08:41:23.814569+00:00,Rast Kaffee,Rainforest,56.25,250,CHF,7.5,1000,27.9,Einzelsorte,Indien,Indien,,,,,3,4,1,0,3,4,4,3,4,3,2,53.0,"würzig, Schokolade, leicht Pflaume",https://www.rastshop.ch/de/kaffee/plantation-rfa,2022-12-09 08:44:20.366861+00:00,Rast Kaffee,250.0,CHF,7.0,1000.0,25.9,Einzelsorte,Indien,Indien,,,,
58,58,Kerkeicoondah,"nussig, würzig, schokoladig",https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm,2022-12-09 08:41:23.823554+00:00,Rast Kaffee,"Direct Trade, Parzellenkaffee",23.75,250,CHF,9.3,1000,34.9,Einzelsorte,Indien,Indien,,,,,2,4,4,2,1,5,4,4,5,5,1,54.0,"nussig, würzig, schokoladig",https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm,2022-12-09 08:44:20.373909+00:00,Rast Kaffee,250.0,CHF,9.3,1000.0,34.9,Einzelsorte,Indien,Indien,,,,
59,59,Blawan,"Schwarztee, Süssholz, Schokolade",https://www.rastshop.ch/de/kaffee/blawan,2022-12-09 08:41:23.834548+00:00,Rast Kaffee,,58.75,250,CHF,8.0,1000,29.9,Einzelsorte,Indonesien,Indonesien,,,,,3,5,2,0,3,1,2,1,5,5,2,,,,,,,,,,,,,,,,,
60,60,Aceh Mandheling BIO Fairtrade,"würzig, Schokolade, Himbeeren",https://www.rastshop.ch/de/kaffee/aceh-mandheling-bio-fairtrade,2022-12-09 08:41:23.844878+00:00,Rast Kaffee,"Bio, Fairtrade",55.0,250,CHF,8.5,1000,31.9,Einzelsorte,Indonesien,Indonesien,,,,,3,3,3,1,1,3,4,3,3,4,1,,,,,,,,,,,,,,,,,
61,61,Sigri,"nussig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/sigri-estate-plantation,2022-12-09 08:41:23.854670+00:00,Rast Kaffee,,55.0,250,CHF,8.0,1000,29.9,Einzelsorte,Papua-Neuguinea,Papua-Neuguinea,,,,,3,2,1,2,3,4,4,1,3,3,3,57.0,"nussig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/sigri-estate-plantation,2022-12-09 08:44:20.394680+00:00,Rast Kaffee,250.0,CHF,7.3,1000.0,26.9,Einzelsorte,Papua-Neuguinea,Papua-Neuguinea,,,,
62,62,Captain Cook,"Schokolade, getrocknete Feigen, leicht Zitrus",https://www.rastshop.ch/de/kaffee/captain-cook,2022-12-09 08:41:23.865279+00:00,Rast Kaffee,,48.75,250,CHF,42.0,1000,166.0,Einzelsorte,Hawaii,Hawaii,,,,,3,4,0,1,5,2,1,1,4,3,4,,,,,,,,,,,,,,,,,
63,63,Dornröschen,"dunkle Schokolade, getrocknete Aprikosen",https://www.rastshop.ch/de/kaffee/dornroschen,2022-12-09 08:41:23.876204+00:00,Rast Kaffee,,48.75,250,CHF,7.5,1000,27.9,Koffeinfreie Mischung,Brasilien,Brasilien,,,,,3,4,2,1,2,4,4,2,4,3,2,58.0,"dunkle Schokolade, getrocknete Aprikosen",https://www.rastshop.ch/de/kaffee/dornroschen,2022-12-09 08:44:20.401532+00:00,Rast Kaffee,250.0,CHF,7.3,1000.0,26.9,Koffeinfreie Mischung,Brasilien,Brasilien,,,,
64,64,Koffeinfrei Fairtrade,Schokolade,https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade,2022-12-09 08:41:23.887375+00:00,Rast Kaffee,Fairtrade,41.25,250,CHF,8.0,1000,29.9,Koffeinfreie Mischung,Peru,Peru,,,,,3,4,1,0,4,5,3,1,3,3,4,59.0,Schokolade,https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade,2022-12-09 08:44:20.409400+00:00,Rast Kaffee,250.0,CHF,7.5,1000.0,27.9,Koffeinfreie Mischung,Peru,Peru,,,,
